"id","name","score","character","appointment","history","stickiness","relations","analyze"
596906,"abc",589,0.776,0.65,0.6,0.57,0.62,NULL
1653945,"abc",589,0.6,0.65,0.6,0.81,0.74,NULL
1355737,"abc",589,0.7744,0.51,0.4,0.81,0.7,NULL
1675299,"abc",588,0.52,0.65,0.6,0.81,0.62,NULL
1611053,"abc",588,0.6,0.65,0.6,0.81,0.74,NULL
462131,"abc",588,0.6,0.65,0.6,0.81,0.74,NULL
1641799,"abc",588,0.7504,0.65,0.6,0.81,0.62,NULL
1597255,"abc",588,0.52,0.65,0.6,0.81,0.62,NULL
177789,"abc",588,0.6,0.65,0.6,0.81,0.74,NULL
441221,"abc",588,0.8016,0.65,0.6,0.57,0.62,NULL
835725,"abc",588,0.6,0.65,0.6,0.81,0.74,NULL
687763,"abc",588,0.52,0.65,0.6,0.81,0.62,NULL
253871,"abc",588,0.52,0.65,0.6,0.81,0.62,NULL
1780936,"abc",588,0.52,0.65,0.6,0.81,0.62,NULL
767690,"abc",588,0.66,0.72,0.7,0.57,0.76,NULL
1674720,"abc",588,0.6,0.65,0.6,0.81,0.74,NULL
1729013,"abc",588,0.54,0.72,0.7,0.81,0.58,NULL
1752596,"abc",587,0.6,0.65,0.6,0.81,0.74,NULL
425753,"abc",587,0.6,0.65,0.6,0.81,0.74,NULL
1598238,"abc",587,0.52,0.65,0.6,0.81,0.62,NULL
484663,"abc",587,0.58,0.72,0.7,0.57,0.64,NULL
791129,"abc",587,0.8216,0.72,0.7,0.57,0.58,NULL
140385,"abc",587,0.52,0.65,0.6,0.81,0.62,NULL
932978,"abc",587,0.52,0.65,0.6,0.81,0.62,NULL
782717,"abc",587,0.6,0.65,0.6,0.57,0.74,NULL
937861,"abc",587,0.54,0.72,0.7,0.81,0.58,NULL
883855,"abc",587,0.6,0.65,0.6,0.57,0.74,NULL
1048993,"abc",587,0.6,0.65,0.6,0.81,0.74,NULL
1708467,"abc",587,0.7616,0.51,0.4,0.81,0.7,NULL
264121,"abc",587,0.52,0.65,0.6,0.81,0.62,NULL
1765334,"abc",587,0.6,0.65,0.6,0.81,0.74,NULL
431862,"abc",587,0.52,0.65,0.6,0.81,0.62,NULL
638984,"abc",586,0.58,0.72,0.7,0.57,0.64,NULL
429609,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
123690,"abc",586,0.6,0.65,0.6,0.81,0.74,NULL
133425,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
1648690,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
1221689,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
168783,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
771414,"abc",586,0.58,0.72,0.7,0.57,0.64,NULL
1049436,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
1666197,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
686518,"abc",586,0.6,0.65,0.6,0.81,0.74,NULL
1065664,"abc",586,0.6224,0.65,0.6,0.81,0.62,NULL
902088,"abc",586,0.644,0.72,0.7,0.57,0.64,NULL
124408,"abc",586,0.6,0.65,0.6,0.81,0.74,NULL
437498,"abc",586,0.52,0.65,0.6,0.81,0.62,NULL
257357,"abc",585,0.6,0.65,0.6,0.81,0.74,NULL
806227,"abc",585,0.6,0.65,0.6,0.81,0.74,NULL
799343,"abc",585,0.6,0.65,0.6,0.81,0.74,NULL
1725832,"abc",585,0.52,0.65,0.6,0.81,0.62,NULL
